epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,42.5407,0.65346,1.90422,0.9508,0.99749,0.49767,0.5182,0.46958,0.50194,2.38886,0.80541,0.00040008,0.00040008,0.00040008
2,81.9568,0.51941,0.63482,0.91643,0.99871,0.5,0.58379,0.51624,0.48921,1.90229,0.81889,0.000762919,0.000762919,0.000762919
3,123.145,0.50465,0.56155,0.91176,0.99577,0.95663,0.99474,0.86749,0.53386,1.15078,0.83083,0.00107075,0.00107075,0.00107075
4,170.908,0.49934,0.53193,0.89522,0.95282,0.99188,0.99456,0.89307,0.4616,0.83782,0.81836,0.00132356,0.00132356,0.00132356
5,214.518,0.48033,0.51147,0.88845,0.98827,1,0.99375,0.90884,0.42366,0.53366,0.80999,0.00122691,0.00122691,0.00122691
6,261.792,0.42269,0.58976,0.83218,0.99667,0.99988,0.99471,0.90257,0.43481,0.48993,0.80442,0.00111689,0.00111689,0.00111689
7,301.325,0.43962,0.50174,0.82674,0.99839,0.99996,0.9944,0.88576,0.46463,0.52047,0.82215,0.00100687,0.00100687,0.00100687
8,343.877,0.41675,0.47293,0.83089,0.99806,1,0.99378,0.90174,0.42861,0.45124,0.81153,0.000896846,0.000896846,0.000896846
9,379.397,0.40752,0.43757,0.81487,0.99812,1,0.99378,0.91275,0.39085,0.41419,0.80064,0.000786824,0.000786824,0.000786824
10,415.694,0.37694,0.41172,0.81642,0.99866,1,0.99378,0.92793,0.36461,0.41309,0.79385,0.000676802,0.000676802,0.000676802
11,452.371,0.3494,0.39043,0.8022,0.99841,1,0.99381,0.93931,0.32786,0.3652,0.78961,0.00056678,0.00056678,0.00056678
12,489.961,0.34565,0.36837,0.80265,0.99828,1,0.99376,0.9381,0.33585,0.34084,0.79079,0.000456758,0.000456758,0.000456758
13,527.126,0.33944,0.35672,0.79955,0.99792,1,0.99376,0.94193,0.32111,0.33237,0.78756,0.000346736,0.000346736,0.000346736
14,564.808,0.3206,0.33915,0.80217,0.99837,1,0.99376,0.95573,0.29667,0.30783,0.78448,0.000236714,0.000236714,0.000236714
15,602.163,0.31267,0.3269,0.80454,0.99837,1,0.99378,0.95512,0.29547,0.30226,0.78359,0.000126692,0.000126692,0.000126692
